;Date;Artiste;Titre;Audio
61;7/05/1994;East 17;It's Alright;https://p.scdn.co/mp3-preview/b038058124a1846f48e0726ef232f097f6340942?cid=4d3bffd173c84f21ab47981ba6cd15f8
62;18/06/1994;Jimmy Cliff;I Can See Clearly Now;https://p.scdn.co/mp3-preview/3f5fdf6e888883f0e35ce6f3744d7ca46a15cdd3?cid=4d3bffd173c84f21ab47981ba6cd15f8
63;13/08/1994;Youssou N'Dour & Neneh Cherry;7 seconds;https://p.scdn.co/mp3-preview/373da3f1cebf87f5887798be0bd2d0c00f8dba1a?cid=4d3bffd173c84f21ab47981ba6cd15f8
64;11/02/1995;20 Fingers feat. Gillette;Short Dick Man;https://p.scdn.co/mp3-preview/94beb87d0c77699f0968f79aebb14e00e832fec7?cid=4d3bffd173c84f21ab47981ba6cd15f8
65;06/05/1995,08/07/1995;Céline Dion;Pour que tu m'aimes encore;https://p.scdn.co/mp3-preview/b4a8208893c4c2c2444a4b0876b26d8c15037dac?cid=4d3bffd173c84f21ab47981ba6cd15f8
66;01/07/1995;Scatman John;Scatman (Ski Ba Bop Ba Dop Bop);https://p.scdn.co/mp3-preview/d6c8867a70c9c6f6bee4f6b9249d078c3df20896?cid=4d3bffd173c84f21ab47981ba6cd15f8
67;16/09/1995;Scatman John;Scatman's World;https://p.scdn.co/mp3-preview/ca7541ddb5a02300374e9bf5456cfd8e3b98f0bd?cid=4d3bffd173c84f21ab47981ba6cd15f8
68;30/09/1995;Michael Jackson;You Are Not Alone;https://p.scdn.co/mp3-preview/8514ea0121a2fc28bf0288fb541b19d024e636c4?cid=4d3bffd173c84f21ab47981ba6cd15f8
69;14/10/1995;Céline Dion;Je sais pas;https://p.scdn.co/mp3-preview/050a1ccdfbcaa9cac2ae2320c919a6f972e584b9?cid=4d3bffd173c84f21ab47981ba6cd15f8
70;02/12/1995,02/03/1996;Coolio feat. L.V.;Gangsta's Paradise;https://p.scdn.co/mp3-preview/5932ee3c68adab33ecef5c312cbb4e836130c771?cid=4d3bffd173c84f21ab47981ba6cd15f8
71;24/02/1996;Ophélie Winter;Dieu m'a donné la foi;https://p.scdn.co/mp3-preview/b166e95af9f05abb12c11c0389c3f6102c142283?cid=4d3bffd173c84f21ab47981ba6cd15f8
72;09/03/1996;Babylon Zoo;Spaceman;https://p.scdn.co/mp3-preview/787e9820eadda9cd2dd57811973757eab2be0ec6?cid=4d3bffd173c84f21ab47981ba6cd15f8
73;16/03/1996;Boris;Soirée disco;https://p.scdn.co/mp3-preview/4f590ab606341c6e36b698048d3da2593b39bf07?cid=4d3bffd173c84f21ab47981ba6cd15f8
74;23/03/1996;Robert Miles;Children;https://p.scdn.co/mp3-preview/c635eb39783d1415237f59c8bda26892512861e6?cid=4d3bffd173c84f21ab47981ba6cd15f8
75;08/06/1996;Mark Snow;The X-Files;https://p.scdn.co/mp3-preview/ea4fc5df5c4f98d06662af69b6832620ffd9d9f0?cid=4d3bffd173c84f21ab47981ba6cd15f8
76;15/06/1996,03/08/1996;Los del Río;Macarena (Bayside Boys remix);https://p.scdn.co/mp3-preview/cacf8b258d5c56e79e1e87f5d3ccad7e365f333d?cid=4d3bffd173c84f21ab47981ba6cd15f8
77;13/07/1996;Carrapicho;Tic, tic tac;https://p.scdn.co/mp3-preview/8ede3ac2b5cf522a7b47106db8bdec8effeaaf10?cid=4d3bffd173c84f21ab47981ba6cd15f8
78;24/08/1996;Fugees;Killing Me Softly;https://p.scdn.co/mp3-preview/7a931688bc452843a89fbd4d83fe2986a95c182e?cid=4d3bffd173c84f21ab47981ba6cd15f8
79;26/10/1996;Gala;Freed from Desire;https://p.scdn.co/mp3-preview/1d3a642a08cdfc7bd103ec66033d50f6d49f41e9?cid=4d3bffd173c84f21ab47981ba6cd15f8
80;25/01/1997;Madonna;Don't Cry for Me Argentina;https://p.scdn.co/mp3-preview/3956954c975d6f5a6b996f5fe81ee48766827ee2?cid=4d3bffd173c84f21ab47981ba6cd15f8
81;22/02/1997,08/03/1997;Gala;Let a Boy Cry;https://p.scdn.co/mp3-preview/5e5efcd6240eebcb3a9916d25032577e6785483e?cid=4d3bffd173c84f21ab47981ba6cd15f8
82;12/04/1997;Ricky Martin;María;https://p.scdn.co/mp3-preview/45c22785eeab0d0d47eeadb0ec69918af02759b8?cid=4d3bffd173c84f21ab47981ba6cd15f8
83;14/06/1997;Wes;Alane;https://p.scdn.co/mp3-preview/510f716d33e27916c781ad0e706e972372b28ad9?cid=4d3bffd173c84f21ab47981ba6cd15f8
84;23/08/1997;Will Smith;Men in Black;https://p.scdn.co/mp3-preview/55b9e9ca8402487f1bedd79ebfb78c3286f5fb47?cid=4d3bffd173c84f21ab47981ba6cd15f8
